Code	Name	Purchase Price	Tax	Retail Price	Category Code
A203	Dây ?ng - ten	0	0	0	35
A204	B?m x?ng	0	0	0	35
A205	Dây le	0	0	0	37
A206	Dây ?ng - ten	0	0	0	37
A207	B?c máy	0	0	0	37
A208	Bóng táp lô	0	0	10000	1
A209	Bóng táp lô	0	0	10000	2
A210	Bóng táp lô	0	0	10000	3
A211	Bóng táp lô	0	0	10000	10
A212	Bóng táp lô	0	0	10000	15
A213	Bóng táp lô	0	0	10000	18
A214	Bóng táp lô	0	0	10000	20
A215	Bóng táp lô	0	0	10000	21
A216	Bóng táp lô	0	0	10000	22
A217	Bóng táp lô	0	0	10000	27
A218	Bóng táp lô	0	0	10000	28
A219	Bóng táp lô	0	0	10000	32
A220	Bóng táp lô	0	0	10000	35
A221	Bóng táp lô	0	0	10000	37
A222	Vá xe XS	0	0	15000	19
A223	R?a xe	0	0	15000	19
A224	Bóng táp lô	0	0	15000	25
A225	Bóng táp lô	0	0	15000	29
A226	Bóng táp lô	0	0	15000	34
A227	Bóng xin nhan	0	0	25000	1
A228	Bóng xin nhan	0	0	25000	2
A229	Bóng xin nhan	0	0	25000	3
A230	Bóng xin nhan	0	0	25000	10
A231	Bóng xin nhan	0	0	25000	15
A232	Bóng xin nhan	0	0	25000	18
A233	Bóng xin nhan	0	0	25000	20
A234	Bóng xin nhan	0	0	25000	21
A235	Bóng xin nhan	0	0	25000	22
A236	Bóng xin nhan	0	0	25000	27
A237	Bóng xin nhan	0	0	25000	28
A238	Bóng xin nhan	0	0	25000	32
A239	Bóng xin nhan	0	0	25000	35
A240	Bóng xin nhan	0	0	25000	37
A241	Bóng h?u ( 1 qu?)	0	0	30000	1
A242	Bóng h?u ( 1 qu?)	0	0	30000	2
A243	Bóng h?u ( 1 qu?)	0	0	30000	3
A244	Bóng h?u ( 1 qu?)	0	0	30000	10
A245	Bóng h?u ( 1 qu?)	0	0	30000	15
A246	Bóng h?u ( 1 qu?)	0	0	30000	18
A247	Vá xe XG	0	0	30000	19
A248	Ph?t bi bánh tr??c	0	0	30000	19
