Code,Name,Purchase Price,Tax,Retail Price,Category Code
A165,Phay rà mặt quy lát,0,0,0,25
A166,Dây le,0,0,0,25
A167,Bốn Sup pap,0,0,0,25
A168,Phớt và trục nước mát,0,0,0,27
A169,Phớt và trục nước mát,0,0,0,27
A170,Le nhiệt,0,0,0,27
A171,Dây phun xăng điện tử,0,0,0,27
A172,Dây le,0,0,0,27
A173,Dây ăng - ten,0,0,0,27
A174,Bơm xăng,0,0,0,27
A175,Dây le,0,0,0,28
A176,Dây ăng - ten,0,0,0,28
A177,Bạc máy,0,0,0,28
A178,Dây le,0,0,0,29
A179,Dây ăng - ten,0,0,0,29
A180,Bốn Sup pap,0,0,0,29
A181,Bộ ECU điều khiển không từ,0,0,0,29
A182,Phớt và trục nước mát,0,0,0,32
A183,Phớt và trục nước mát,0,0,0,32
A184,Dây le,0,0,0,32
A185,Dây ăng - ten,0,0,0,32
A186,Bơm xăng,0,0,0,32
A187,Trục két nước,0,0,0,33
A188,Phớt két nước,0,0,0,33
A189,Phay rà mặt quy lát,0,0,0,33
A190,Bốn Sup pap,0,0,0,33
A191,Phớt và trục nước mát,0,0,0,34
A192,Le nhiệt,0,0,0,34
A193,Dây phun xăng điện tử,0,0,0,34
A194,Dây le,0,0,0,34
A195,Dây ăng - ten,0,0,0,34
A196,Bơm xăng,0,0,0,34
A197,Bộ ECU điều khiển FI,0,0,0,34
A198,Bộ ECU điều khiển có từ,0,0,0,34
A199,Phớt và trục nước mát,0,0,0,35
A200,Le nhiệt,0,0,0,35
A201,Dây phun xăng điện tử,0,0,0,35
A202,Dây le,0,0,0,35
A203,Dây ăng - ten,0,0,0,35
A204,Bơm xăng,0,0,0,35
A205,Dây le,0,0,0,37
A206,Dây ăng - ten,0,0,0,37
A207,Bạc máy,0,0,0,37
A208,Bóng táp lô,0,0,10000,1
A209,Bóng táp lô,0,0,10000,2
A210,Bóng táp lô,0,0,10000,3
A211,Bóng táp lô,0,0,10000,10
A212,Bóng táp lô,0,0,10000,15
A213,Bóng táp lô,0,0,10000,18
A214,Bóng táp lô,0,0,10000,20
A215,Bóng táp lô,0,0,10000,21
A216,Bóng táp lô,0,0,10000,22
A217,Bóng táp lô,0,0,10000,27
A218,Bóng táp lô,0,0,10000,28
A219,Bóng táp lô,0,0,10000,32
A220,Bóng táp lô,0,0,10000,35
A221,Bóng táp lô,0,0,10000,37
